draw_no,date,digit1,digit2,digit3,digit4
1,1994/10/07,1,1,4,9
2,1994/10/14,7,9,2,1
3,1994/10/21,0,0,9,7
4,1994/10/28,0,1,7,1
5,1994/11/04,0,2,6,5
6,1994/11/11,5,4,8,2
7,1994/11/18,3,9,5,0
8,1994/11/25,7,5,0,7
9,1994/12/02,2,6,6,4
10,1994/12/09,2,4,3,6
11,1994/12/16,0,2,5,4
12,1994/12/23,9,7,2,2
13,1994/12/30,4,6,7,3
14,1995/01/06,1,4,0,9
15,1995/01/10,6,4,1,9
16,1995/01/13,0,5,2,4
17,1995/01/17,8,6,9,7
18,1995/01/20,3,0,6,2
19,1995/01/24,1,0,1,3
20,1995/01/27,2,2,6,4
21,1995/01/31,3,8,2,5
22,1995/02/03,7,0,5,9
23,1995/02/07,0,2,8,3
24,1995/02/10,2,3,2,1
25,1995/02/14,4,5,5,6
26,1995/02/17,3,3,6,0
27,1995/02/21,4,9,0,8
28,1995/02/24,3,4,6,6
29,1995/02/28,2,0,6,1
30,1995/03/03,7,5,6,6
31,1995/03/07,4,8,3,0
32,1995/03/10,4,5,7,5
33,1995/03/14,5,8,1,9
34,1995/03/17,7,5,2,1
35,1995/03/21,4,7,0,3
36,1995/03/24,9,7,7,6
37,1995/03/28,6,9,4,1
38,1995/03/31,8,6,3,4
39,1995/04/04,5,5,6,0
40,1995/04/07,5,5,8,4
41,1995/04/11,0,2,2,8
42,1995/04/14,9,8,7,5
43,1995/04/18,5,0,3,1
44,1995/04/21,4,7,4,2
45,1995/04/25,5,5,4,3
46,1995/04/28,9,4,7,6
47,1995/05/02,9,1,2,5
48,1995/05/05,5,0,7,4
49,1995/05/09,6,9,1,0
50,1995/05/12,0,0,2,1
51,1995/05/16,7,5,9,8
52,1995/05/19,5,0,5,3
53,1995/05/23,9,0,4,0
54,1995/05/26,3,8,9,5
55,1995/05/30,6,7,8,0
56,1995/06/02,9,9,8,1
57,1995/06/06,1,3,9,8
58,1995/06/09,3,0,4,2
59,1995/06/13,8,8,8,5
60,1995/06/16,6,3,7,3
61,1995/06/20,7,8,8,2
62,1995/06/23,5,6,0,8
63,1995/06/27,9,1,2,3
64,1995/06/30,8,8,4,4
65,1995/07/04,9,8,1,9
66,1995/07/07,2,0,9,8
